"Nombre","Fecha","Tipo","Horario"
"TIERRAS PERDIDAS","06/05","3D CASTELLANO"," 21:00"
"TIERRAS PERDIDAS","06/05","3D CASTELLANO"," 21:30"
"TIERRAS PERDIDAS","06/05","3D CASTELLANO"," 23:00"
"TIERRAS PERDIDAS","06/05",""," 14:00"
"TIERRAS PERDIDAS","06/05",""," 15:20"
"TIERRAS PERDIDAS","06/05",""," 16:20"
"TIERRAS PERDIDAS","06/05",""," 16:50"
"TIERRAS PERDIDAS","06/05",""," 18:10"
"TIERRAS PERDIDAS","06/05",""," 19:10"
"TIERRAS PERDIDAS","06/05",""," 19:40"
"TIERRAS PERDIDAS","06/05",""," 22:30"
"TIERRAS PERDIDAS","06/05",""," 22:00"
"TIERRAS PERDIDAS","07/05","DBOX + 3D CASTELLANO"," 14:30"
"TIERRAS PERDIDAS","07/05","DBOX + 3D CASTELLANO"," 17:20"
"TIERRAS PERDIDAS","07/05","DBOX + 3D CASTELLANO"," 20:10"
"TIERRAS PERDIDAS","07/05","DBOX + 3D CASTELLANO"," 23:00"
"TIERRAS PERDIDAS","07/05","DBOX + 2D CASTELLANO"," 14:00"
"TIERRAS PERDIDAS","07/05","DBOX + 2D CASTELLANO"," 16:50"
"TIERRAS PERDIDAS","07/05","DBOX + 2D CASTELLANO"," 19:40"
"TIERRAS PERDIDAS","07/05","DBOX + 2D CASTELLANO"," 22:30"
"TIERRAS PERDIDAS","07/05","3D CASTELLANO"," 14:30"
"TIERRAS PERDIDAS","07/05","3D CASTELLANO"," 15:50"
"TIERRAS PERDIDAS","07/05","3D CASTELLANO"," 17:20"
"TIERRAS PERDIDAS","07/05","3D CASTELLANO"," 18:40"
"TIERRAS PERDIDAS","07/05","3D CASTELLANO"," 20:10"
"TIERRAS PERDIDAS","07/05","3D CASTELLANO"," 21:00"
"TIERRAS PERDIDAS","07/05","3D CASTELLANO"," 21:30"
"TIERRAS PERDIDAS","07/05","3D CASTELLANO"," 23:00"
"TIERRAS PERDIDAS","07/05",""," 14:00"
"TIERRAS PERDIDAS","07/05",""," 15:20"
"TIERRAS PERDIDAS","07/05",""," 16:20"
"TIERRAS PERDIDAS","07/05",""," 16:50"
"TIERRAS PERDIDAS","07/05",""," 18:10"
"TIERRAS PERDIDAS","07/05",""," 19:10"
"TIERRAS PERDIDAS","07/05",""," 19:40"
"TIERRAS PERDIDAS","07/05",""," 22:30"
"TIERRAS PERDIDAS","07/05",""," 22:00"
"UNA PELICULA DE MINECRAFT","30/04","DBOX + 3D CASTELLANO"," 14:30"
"UNA PELICULA DE MINECRAFT","30/04","DBOX + 3D CASTELLANO"," 17:20"
"UNA PELICULA DE MINECRAFT","30/04","DBOX + 3D CASTELLANO"," 20:10"
"UNA PELICULA DE MINECRAFT","30/04","DBOX + 3D CASTELLANO"," 23:00"
"UNA PELICULA DE MINECRAFT","30/04","DBOX + 2D CASTELLANO"," 14:00"
"UNA PELICULA DE MINECRAFT","30/04","DBOX + 2D CASTELLANO"," 16:50"
"UNA PELICULA DE MINECRAFT","30/04","DBOX + 2D CASTELLANO"," 19:40"
"UNA PELICULA DE MINECRAFT","30/04","DBOX + 2D CASTELLANO"," 22:30"
"UNA PELICULA DE MINECRAFT","30/04","3D CASTELLANO"," 14:30"
"UNA PELICULA DE MINECRAFT","30/04","3D CASTELLANO"," 15:50"
"UNA PELICULA DE MINECRAFT","30/04","3D CASTELLANO"," 17:20"
"UNA PELICULA DE MINECRAFT","30/04","3D CASTELLANO"," 18:40"
"UNA PELICULA DE MINECRAFT","30/04","3D CASTELLANO"," 20:10"
"UNA PELICULA DE MINECRAFT","30/04","3D CASTELLANO"," 21:00"
"UNA PELICULA DE MINECRAFT","30/04","3D CASTELLANO"," 21:30"
"UNA PELICULA DE MINECRAFT","30/04","3D CASTELLANO"," 23:00"
"UNA PELICULA DE MINECRAFT","30/04",""," 13:30"
"UNA PELICULA DE MINECRAFT","30/04",""," 14:00"
"UNA PELICULA DE MINECRAFT","30/04",""," 15:20"
"UNA PELICULA DE MINECRAFT","30/04",""," 16:20"
"UNA PELICULA DE MINECRAFT","30/04",""," 16:50"
"UNA PELICULA DE MINECRAFT","30/04",""," 18:10"
"UNA PELICULA DE MINECRAFT","30/04",""," 19:10"
"UNA PELICULA DE MINECRAFT","30/04",""," 19:40"
"UNA PELICULA DE MINECRAFT","30/04",""," 22:30"
"UNA PELICULA DE MINECRAFT","30/04",""," 22:00"
"UNA PELICULA DE MINECRAFT","02/05","DBOX + 3D CASTELLANO"," 14:30"
"UNA PELICULA DE MINECRAFT","02/05","DBOX + 3D CASTELLANO"," 17:20"
"UNA PELICULA DE MINECRAFT","02/05","DBOX + 3D CASTELLANO"," 20:10"
"UNA PELICULA DE MINECRAFT","02/05","DBOX + 3D CASTELLANO"," 23:00"
"UNA PELICULA DE MINECRAFT","02/05","DBOX + 2D CASTELLANO"," 14:00"
"UNA PELICULA DE MINECRAFT","02/05","DBOX + 2D CASTELLANO"," 16:50"
"UNA PELICULA DE MINECRAFT","02/05","DBOX + 2D CASTELLANO"," 19:40"
"UNA PELICULA DE MINECRAFT","02/05","DBOX + 2D CASTELLANO"," 22:30"
"UNA PELICULA DE MINECRAFT","02/05","3D CASTELLANO"," 14:30"
"UNA PELICULA DE MINECRAFT","02/05","3D CASTELLANO"," 15:50"
"UNA PELICULA DE MINECRAFT","02/05","3D CASTELLANO"," 17:20"
"UNA PELICULA DE MINECRAFT","02/05","3D CASTELLANO"," 18:40"
"UNA PELICULA DE MINECRAFT","02/05","3D CASTELLANO"," 20:10"
"UNA PELICULA DE MINECRAFT","02/05","3D CASTELLANO"," 21:00"
"UNA PELICULA DE MINECRAFT","02/05","3D CASTELLANO"," 21:30"
