Fecha,Horario,FormatoImagen,FormatoIdioma,Cine,Nombre
2025-04-25,19:50,2D,Castellano,Showcase,MAZEL TOV
2025-04-25,17:50,2D,Castellano,Showcase,MAZEL TOV
2025-04-25,17:30,2D,Castellano,Showcase,MAZEL TOV
2025-04-25,15:30,2D,Castellano,Showcase,MAZEL TOV
2025-04-25,15:10,2D,Castellano,Showcase,MAZEL TOV
2025-04-25,17:10,2D,Castellano,Cinépolis,Until dawn: noche de terror
2025-04-25,20:30,2D,Castellano,Cinépolis,Until dawn: noche de terror
2025-04-25,22:45,2D,Subtitulado,Cinépolis,Until dawn: noche de terror
2025-04-25,16:30,2D,Castellano,Showcase,La venganza de los Sith 20 Aniversario
2025-04-25,22:30,2D,Subtitulado,Showcase,La venganza de los Sith 20 Aniversario
2025-04-25,19:30,2D,Subtitulado,Showcase,La venganza de los Sith 20 Aniversario
2025-04-25,16:50,2D,Subtitulado,Showcase,PECADORES
2025-04-25,19:45,2D,Subtitulado,Showcase,PECADORES
2025-04-25,14:20,2D,Castellano,Showcase,Looney Tunes
2025-04-25,22:40,2D,Subtitulado,Showcase,PECADORES
2025-04-25,16:10,2D,Castellano,Showcase,PECADORES
2025-04-25,21:05,2D,Castellano,Monumental,MINECRAFT
2025-04-25,19:10,2D,Castellano,Showcase,PECADORES
2025-04-25,20:00,2D,Castellano,Monumental,MINECRAFT
2025-04-25,20:10,2D,Castellano,Showcase,MAZEL TOV
2025-04-25,22:05,2D,Castellano,Showcase,MAZEL TOV
2025-04-25,22:20,2D,Subtitulado,Showcase,MINECRAFT
2025-04-25,21:30,2D,Subtitulado,Las Tipas,Puente en llamas
2025-04-25,14:15,2D,Castellano,Showcase,BLANCANIEVES
2025-04-25,19:30,4D,Castellano,Las Tipas,Until dawn: noche de terror
2025-04-25,22:00,4D,Subtitulado,Las Tipas,PECADORES
2025-04-25,21:50,2D,Subtitulado,Las Tipas,Until dawn: noche de terror
2025-04-25,16:50,2D,Castellano,Las Tipas,PECADORES
2025-04-25,19:20,2D,Castellano,Las Tipas,PECADORES
2025-04-25,14:30,2D,Castellano,Las Tipas,EL REY DE REYES
2025-04-25,18:50,4D,Subtitulado,Las Tipas,La venganza de los Sith 20 Aniversario
2025-04-25,21:40,4D,Subtitulado,Las Tipas,La venganza de los Sith 20 Aniversario
2025-04-25,14:20,4D,Castellano,Las Tipas,BLANCANIEVES
2025-04-25,17:00,4D,Castellano,Las Tipas,BLANCANIEVES
2025-04-25,20:50,2D,Subtitulado,Las Tipas,DROP AMENAZA ANONIMA
2025-04-25,16:30,2D,Castellano,Las Tipas,Looney Tunes
2025-04-25,18:30,2D,Castellano,Las Tipas,Looney Tunes
2025-04-25,20:00,2D,Subtitulado,Showcase,MINECRAFT
2025-04-25,16:30,2D,Castellano,Las Tipas,The Chosen: La última cena
2025-04-25,15:00,2D,Castellano,Las Tipas,MAZEL TOV
2025-04-25,17:20,2D,Castellano,Las Tipas,MAZEL TOV
2025-04-25,19:40,2D,Castellano,Las Tipas,MAZEL TOV
2025-04-25,20:20,4D,Castellano,Las Tipas,MINECRAFT
2025-04-25,18:00,4D,Castellano,Las Tipas,MINECRAFT
2025-04-25,16:40,4D,Castellano,Las Tipas,MINECRAFT
2025-04-25,15:40,4D,Castellano,Las Tipas,MINECRAFT
2025-04-25,14:40,4D,Castellano,Las Tipas,MINECRAFT
2025-04-25,13:30,4D,Castellano,Las Tipas,MINECRAFT
2025-04-25,18:40,3D,Castellano,Las Tipas,MINECRAFT
2025-04-25,16:20,3D,Castellano,Las Tipas,MINECRAFT
2025-04-25,14:00,3D,Castellano,Las Tipas,MINECRAFT
2025-04-25,19:10,2D,Castellano,Las Tipas,Puente en llamas
2025-04-25,21:00,2D,Castellano,Las Tipas,Cónclave
2025-04-25,22:10,2D,Castellano,Las Tipas,MAZEL TOV
2025-04-25,19:35,2D,Subtitulado,Showcase,Cónclave
2025-04-25,21:40,3D,Castellano,Showcase,MINECRAFT
2025-04-25,19:20,3D,Castellano,Showcase,MINECRAFT
2025-04-25,14:30,2D,Castellano,Showcase,Flow
2025-04-25,17:00,3D,Castellano,Showcase,MINECRAFT
2025-04-25,14:40,3D,Castellano,Showcase,MINECRAFT
2025-04-25,19:40,2D,Castellano,Showcase,MINECRAFT
2025-04-25,19:00,2D,Castellano,Showcase,MINECRAFT
2025-04-25,17:40,2D,Castellano,Showcase,MINECRAFT
2025-04-25,22:00,2D,Castellano,Showcase,MINECRAFT
2025-04-25,16:20,2D,Castellano,Showcase,MINECRAFT
2025-04-25,15:20,2D,Castellano,Showcase,MINECRAFT
2025-04-25,15:00,2D,Castellano,Showcase,MINECRAFT
2025-04-25,21:50,2D,Castellano,Showcase,BLANCANIEVES
2025-04-25,19:15,2D,Castellano,Showcase,BLANCANIEVES
2025-04-25,16:40,2D,Castellano,Showcase,BLANCANIEVES
2025-04-25,14:00,2D,Castellano,Showcase,MINECRAFT
2025-04-25,17:20,2D,Castellano,Showcase,MINECRAFT
2025-04-26,22:15,2D,Castellano,Monumental,Until dawn: noche de terror
2025-04-26,16:30,2D,Castellano,Monumental,ROBOT SALVAJE
2025-04-26,18:55,2D,Castellano,Monumental,PECADORES
2025-04-26,21:10,2D,Castellano,Monumental,PECADORES
2025-04-26,21:20,2D,Subtitulado,Monumental,La venganza de los Sith 20 Aniversario
2025-04-26,21:25,2D,Castellano,Monumental,Puente en llamas
2025-04-26,19:00,2D,Castellano,Monumental,Until dawn: noche de terror
2025-04-26,17:00,2D,Castellano,Monumental,BLANCANIEVES
2025-04-26,16:00,2D,Castellano,Monumental,MINECRAFT
2025-04-26,14:50,2D,Castellano,Monumental,MINECRAFT
2025-04-26,14:00,2D,Subtitulado,Showcase,PECADORES
2025-04-26,16:50,2D,Subtitulado,Showcase,PECADORES
2025-04-26,19:45,2D,Subtitulado,Showcase,PECADORES
2025-04-26,22:40,2D,Subtitulado,Showcase,PECADORES
2025-04-26,16:10,2D,Castellano,Showcase,PECADORES
2025-04-26,22:30,2D,Subtitulado,Showcase,La venganza de los Sith 20 Aniversario
2025-04-26,19:30,2D,Subtitulado,Showcase,La venganza de los Sith 20 Aniversario
2025-04-26,19:10,2D,Castellano,Showcase,PECADORES
2025-04-26,22:10,2D,Castellano,Showcase,PECADORES
2025-04-26,19:15,2D,Castellano,Monumental,MAZEL TOV
2025-04-26,14:30,2D,Castellano,Showcase,Flow
2025-04-26,22:15,2D,Subtitulado,Showcase,Until dawn: noche de terror
2025-04-26,12:05,2D,Castellano,Showcase,Until dawn: noche de terror
2025-04-26,14:25,2D,Castellano,Showcase,Until dawn: noche de terror
2025-04-26,21:05,2D,Castellano,Monumental,MINECRAFT
2025-04-26,20:00,2D,Castellano,Monumental,MINECRAFT
2025-04-26,18:45,2D,Castellano,Monumental,MINECRAFT
2025-04-26,17:55,2D,Castellano,Monumental,MINECRAFT
2025-04-26,16:45,2D,Castellano,Monumental,MINECRAFT
2025-04-26,19:35,2D,Subtitulado,Showcase,Cónclave
2025-04-26,12:30,2D,Castellano,Showcase,Flow
2025-04-26,16:30,2D,Castellano,Showcase,La venganza de los Sith 20 Aniversario
2025-04-26,21:00,2D,Castellano,Las Tipas,Cónclave
2025-04-26,19:10,2D,Castellano,Las Tipas,Puente en llamas
2025-04-26,18:00,4D,Castellano,Las Tipas,MINECRAFT
2025-04-26,20:20,4D,Castellano,Las Tipas,MINECRAFT
2025-04-26,22:15,2D,Castellano,Cinépolis,PECADORES
2025-04-26,19:20,2D,Castellano,Cinépolis,PECADORES
2025-04-26,16:30,2D,Castellano,Cinépolis,PECADORES
2025-04-26,22:50,2D,Castellano,Cinépolis,Puente en llamas
2025-04-26,18:15,2D,Castellano,Cinépolis,Puente en llamas
2025-04-26,14:45,2D,Castellano,Cinépolis,EL REY DE REYES
2025-04-26,16:00,2D,Castellano,Cinépolis,BLANCANIEVES
2025-04-26,21:30,2D,Castellano,Cinépolis,MINECRAFT
2025-04-26,20:00,2D,Castellano,Cinépolis,MINECRAFT
2025-04-26,19:10,2D,Castellano,Cinépolis,MINECRAFT
2025-04-26,16:40,4D,Castellano,Las Tipas,MINECRAFT
2025-04-26,17:40,2D,Castellano,Cinépolis,MINECRAFT
2025-04-26,15:20,2D,Castellano,Cinépolis,MINECRAFT
2025-04-26,14:30,3D,Castellano,Cinépolis,MINECRAFT
2025-04-26,19:30,3D,Castellano,Cinépolis,MINECRAFT
2025-04-26,14:00,3D,Castellano,Cinépolis,MINECRAFT
2025-04-26,14:50,2D,Castellano,Cinépolis,Cónclave
2025-04-26,19:30,2D,Castellano,Cinépolis,La venganza de los Sith 20 Aniversario
2025-04-26,22:30,2D,Castellano,Cinépolis,La venganza de los Sith 20 Aniversario
2025-04-26,16:30,2D,Subtitulado,Cinépolis,La venganza de los Sith 20 Aniversario
2025-04-26,14:20,2D,Castellano,Cinépolis,Looney Tunes
2025-04-26,22:00,2D,Castellano,Cinépolis,MAZEL TOV
2025-04-26,19:45,2D,Castellano,Cinépolis,MAZEL TOV
2025-04-26,17:30,2D,Castellano,Cinépolis,MAZEL TOV
2025-04-26,16:50,2D,Castellano,Cinépolis,MINECRAFT
2025-04-26,16:55,2D,Castellano,Showcase,Until dawn: noche de terror
2025-04-26,15:40,4D,Castellano,Las Tipas,MINECRAFT
2025-04-26,20:30,2D,Castellano,Cinépolis,Until dawn: noche de terror
2025-04-26,21:30,2D,Subtitulado,Las Tipas,Puente en llamas
2025-04-26,19:30,4D,Castellano,Las Tipas,Until dawn: noche de terror
2025-04-26,22:00,4D,Subtitulado,Las Tipas,PECADORES
2025-04-26,21:50,2D,Subtitulado,Las Tipas,Until dawn: noche de terror
2025-04-26,16:50,2D,Castellano,Las Tipas,PECADORES
2025-04-26,19:20,2D,Castellano,Las Tipas,PECADORES
2025-04-26,18:50,4D,Subtitulado,Las Tipas,La venganza de los Sith 20 Aniversario
2025-04-26,21:40,4D,Subtitulado,Las Tipas,La venganza de los Sith 20 Aniversario
2025-04-26,14:20,4D,Castellano,Las Tipas,BLANCANIEVES
2025-04-26,17:00,4D,Castellano,Las Tipas,BLANCANIEVES
2025-04-26,20:50,2D,Subtitulado,Las Tipas,DROP AMENAZA ANONIMA
